text,intent,response,entities
Please I need help with credit bank card limit. today.,credit_card_limit,Certainly. Credit limit update request received.,{}
Provide information about transaction inquiry. [623379],transaction_inquiry,Information for transaction inquiry: please provide further details.,{}
Can you 4000000 48 months now.,emi_result,"Okay. Estimated EMI for Rs. 500,000 over 12 months at 8.5% is Rs. 43,680/month.",{}
Provide information about language preference. [bba091] now.,language_preference,Noted. Information for language preference: please provide further details. Thank you.,{}
Please apply for personal loan,loan_application,Please provide required documents to proceed.,"{""salary"": ""\u20b9210,987""}"
I need help with credit card payment. [97edc6],credit_card_payment,Information for credit card payment: please provide further details.,{}
Please Provide information about communication preferences. [fe0be2] .,communication_preferences,Understood. Information for communication preferences: please provide further details.,{}
"Please, Tell me current home loan interest rates. [63a8ec] today.",interest_rate_info,Certainly. Information for interest rate info: please provide further details.,{}
"Please, Provide information about branch locator. [db0c15] asap.",branch_locator,Noted. Information for branch locator: please provide further details. Thank you.,{}
Calculate EMI for principal Rs. 107594 with tenure 48 months at 9.0% p.a.,emi_calculator,EMI calculated. Please provide amount and tenure.,"{""amount"": ""107594"", ""tenure"": 48}"
Provide information about standing instruction setup. [7b3bf8],standing_instruction_setup,Standing instruction setup completed.,{}
I need help with branch locator. [93f309],branch_locator,Please provide your city or PIN code.,{}
Block my credit card. [5bfafb],credit_card_block,Credit card has been blocked.,{}
Please Provide information about profile update. [391b76] asap.,profile_update,Certainly. Information for profile update: please provide further details. Let me know if you need anything else.,{}
Tell me the daily cash withdrawal limit. [696bec],atm_withdrawal_limit,Please follow the instructions provided.,{}
Provide information about international remittance. [75d72c],international_remittance,International remittance instructions have been sent.,{}
Provide information about salary credit issue. [879eac],salary_credit_issue,Salary credit issue logged. Please provide employer details.,{}
I need help with salary credit issue. [8d2486],salary_credit_issue,Salary credit issue logged. Please provide employer details.,{}
Please Block my credit bank card. [5bfafb] now.,credit_card_block,Noted. Credit card has been blocked.,{}
Kindly I need help with credit bank card limit. [905228] please.,credit_card_limit,Sure. Credit limit update request received. Let me know if you need anything else.,{}
Block my debit card. [8f33b6],debit_card_block,Information for debit card block: please provide further details.,{}
Could you I need help with deposits info. [99e7f1],deposits_info,Sure. Information for deposits info: please provide further details. Thank you.,{}
I need to block my credit card. [f28bd1],credit_card_block,Credit card has been blocked.,{}
Would you What is the ATM withdrawal limit per day? [7357a6] today.,atm_withdrawal_limit,Sure. Please follow the instructions provided. Please confirm.,{}
Provide information about goodbye. [df5611],goodbye,Goodbye. Have a good day.,{}
"Please, Provide information about profile update. [71762e] please.",profile_update,Information for profile update: please provide further details. Let me know if you need anything else.,{}
"Rs. 2,00,000 credit facility for 2 years at 9% � installment?.",emi_result,"Estimated EMI for Rs. 1,000,000 over 12 months at 8.5% is Rs. 87,360/month. Thank you.",{}
I need help with greet. [42581d],greet,Information for greet: please provide further details.,{}
Can you Provide information about borrowing statement request. [3fb412] .,loan_statement_request,Understood. Understood. Please provide the requested details to proceed with your loan request.,{}
Would you Please guide me to close my savings account. [bd9970] today.,account_closure,Noted. Information for account closure: please provide further details.,{}
Would you view loan eligibility for income Rs. 432094. now.,loan_eligibility_check,Understood. Please provide the requested details to proceed with your loan request.,{}
I need help with sweep instructions. [cdb134],sweep_instructions,Sweep instructions recorded.,{}
Please Provide information about receipt request. [cfe642] asap.,receipt_request,Certainly. Information for receipt request: please provide further details. Let me know if you need anything else.,{}
I need help with interest calculator. [0aa912] please.,interest_calculator,Sure. Calculating interest; please provide amount and tenure.,{}
monthly EMI thanks.,emi_type_monthly,Noted. The monthly repayment will be auto-debited each month.,{}
I need help with track service request. [f3ca96] .,track_service_request,Information for track service request: please provide further details. Let me know if you need anything else.,{}
Kindly Continue bank card assistance .,ask_card_last4,Certainly. Kindly provide the last 4 digits of your card. Let me know if you need anything else.,{}
Provide information about balance alert setup. [23be1d],balance_alert_setup,Balance alert set for the specified threshold.,{}
Could you I need help with upi help. [f8b90c] please.,upi_help,"Sure. To transfer Rs. 353,567 to Meena, please confirm the recipient account number.",{}
Would you I need help with open account. [7492cc] kindly.,open_account,Certainly. Account opening request received. Please submit KYC documents. Let me know if you need anything else.,{}
I need help with card status info. [bd1028],card_status_info,Please provide the card ending digits to proceed.,{}
Please Block my debit debit card. [7d5c28] please.,debit_card_block,Certainly. Your debit card has been blocked. Please confirm.,{}
I need help with merchant dispute. [ec6652],merchant_dispute,Merchant dispute registered. We will investigate.,{}
Would you Provide information about language preference. [17ca67],language_preference,Sure. Information for language preference: please provide further details. Let me know if you need anything else.,{}
I need help with debit card replacement. [3ed973] .,debit_card_replacement,Replacement request submitted. Please confirm.,{}
Please What is my account available balance? [30ce78] now.,check_balance,"Understood. The current balance for account 7563373617 is Rs. 50,843.",{}
Provide information about transaction inquiry. [34bbf5],transaction_inquiry,Information for transaction inquiry: please provide further details.,{}
Provide information about salary credit issue. [177a1e],salary_credit_issue,Salary credit issue logged. Please provide employer details.,{}
Can you Provide information about account freeze request. [b05d77] thanks.,account_freeze_request,Sure. Information for account freeze request: please provide further details. Please confirm.,{}
I did not receive OTP; please resend. [d55374],otp_resend,OTP has been resent to your registered mobile number.,{}
Provide information about branch timings query. [a15d31],branch_timings_query,Information for branch timings query: please provide further details.,{}
Please Provide information about thanks. [1cf8f7] kindly.,thanks,Sure. Information for thanks: please provide further details.,{}
Please 500000 12 months thanks.,emi_result,"Understood. Estimated EMI for Rs. 7,00,000 over 6 years at 8% is Rs. 12,300/month.",{}
Would you I need help with my debit card today.,card_select_type,Noted. I can help. Is it a Debit Card or a Credit Card? Let me know if you need anything else.,{}
Can you I need help with thanks. [84e7f9] asap.,thanks,Certainly. Information for thanks: please provide further details. Please confirm.,{}
I need help with branch locator. [e8391a] thanks.,branch_locator,Certainly. Information for branch locator: please provide further details. Thank you.,{}
"Please, how much salary is needed for credit facility asap.",loan_eligibility_request,Sure. Please share your monthly salary amount so I can check your eligibility.,{}
Can you pay my loan EMI?,loan_payment,Payment received. Reference: TXN61161599.,"{""account_number"": ""9300522144"", ""txn_id"": ""TXN26735384"", ""date"": ""2025-01-25"", ""amount"": ""\u20b982,927""}"
Kindly I need help with receipt request. [62fdf8],receipt_request,Okay. Receipt will be sent to your registered email. Please confirm.,{}
check my loan eligibility,loan_eligibility_check,Provide salary details for eligibility assessment.,"{""salary"": ""\u20b9193,656""}"
I need the passbook statement for account 8038719145 for October 2025. asap.,statement_request,Okay. Statement will be delivered to your registered email. Please confirm.,{}
Resend the OTP to my registered mobile. [242bb1],otp_resend,Information for otp resend: please provide further details.,{}
I need help with nominee update. [26e503],nominee_update,Nominee update received and recorded.,{}
I need help with tax certificate request. [d271a2],tax_certificate_request,Tax certificate request received.,{}
I want to apply for a personal loan. [c24e1f],loan_application,Please provide required documents to proceed.,{}
I need help with recurring deposit info. [2467b2],recurring_deposit_info,Recurring deposit details will be shared.,{}
Provide information about branch locator. [4d717a],branch_locator,Please provide your city or PIN code.,{}
